Test Name,Difficulty,No. of Questions,Time Needed,Description,Link
Azure Architect,Medium,10 Questions,10 Min,The Azure Architect test is designed to evaluate the candidate’s proficiency in architecting solutions on the Azure platform.,https://testlify.com/test-library/azure-architect/
Azure App Services,Medium,18 Questions,20 Min,The Azure App Services test is designed to evaluate a candidate’s proficiency in working with Microsoft Azure’s App Services platform.,https://testlify.com/test-library/azure-app-services/
AWS VPN,Medium,10 Questions,10 Min,The AWS VPN test is designed to assess a candidate’s knowledge and skills in configuring and managing Virtual Private Network (VPN) connections within the Amazon Web Services (AWS) environment.,https://testlify.com/test-library/aws-vpn/
AWS VPC,Medium,10 Questions,10 Min,The AWS VPC (Virtual Private Cloud) assessment evaluates a candidate’s proficiency in managing and configuring virtual networks in the Amazon Web Services (AWS) cloud environment.,https://testlify.com/test-library/aws-vpc/
Collaboration,Medium,12 Questions,10 Min,"Collaboration tests assess a candidate’s ability to work effectively in a team environment by measuring sub-skills such as communication, teamwork, conflict resolution and adaptability.",https://testlify.com/test-library/collaboration/
Following Instructions,Medium,16 Questions,10 Min,The Following Instructions test assesses a candidate’s ability to accurately and efficiently follow instructions.,https://testlify.com/test-library/following-instructions/
AWS Lambda,Medium,10 Questions,10 Min,AWS Lambda is a serverless computing service that allows developers to run code without managing servers. It enables running code for virtually any type of application or backend service.,https://testlify.com/test-library/aws-lambda/
AWS Athena Skills,Medium,10 Questions,10 Min,"The AWS Athena Skills Assessment is a comprehensive evaluation designed to assess candidates’ proficiency in utilizing AWS Athena, a serverless query service within the Amazon Web Services (AWS).",https://testlify.com/test-library/aws-athena-skills/
Computer System Validation (CSV),Medium,18 Questions,20 Min,The Computer System Validation (CSV) Assessment serves as a comprehensive evaluation designed to assess candidates’ proficiency in the realm of computer system validation.,https://testlify.com/test-library/computer-system-validation-csv/
UX/UI Designer,Medium,18 Questions,20 Min,The UX/UI Designer assessment evaluates a candidate’s ability to design user interfaces and user experiences for web and mobile applications.,https://testlify.com/test-library/ux-ui-designer-test/
Transport Coordinator,Medium,18 Questions,20 Min,"A Transport Coordinator is responsible for coordinating and managing the transportation of goods, equipment, and people across different locations.",https://testlify.com/test-library/transport-coordinator-test/
Telecom Sector Field Sales Executive,Medium,18 Questions,20 Min,"This assessment evaluates the candidate’s skills in selling telecommunication products, identifying market opportunities, building customer relationships, and achieving sales targets.",https://testlify.com/test-library/telecom-sector-field-sales-executive-test/
Kotlin Developer,Medium,10 Questions,10 Min,The Kotlin Developer test evaluates a candidate’s skills and knowledge in Kotlin programming language.,https://testlify.com/test-library/kotlin-developer/
Junior SQL Programmer,Medium,10 Questions,10 Min,The Junior SQL Programmer test evaluates the candidate’s technical skills in SQL programming.,https://testlify.com/test-library/junior-sql-programmer/
Junior Sales Consultant,Medium,10 Questions,10 Min,"The Junior Sales Consultant test evaluates the candidate’s skills related to sales, communication, and customer service.",https://testlify.com/test-library/junior-sales-consultant/
Junior Python Developer,Medium,10 Questions,10 Min,"The Junior Python Developer test is a comprehensive evaluation of a candidate’s programming skills, coding proficiency, and overall knowledge of the Python programming language.",https://testlify.com/test-library/junior-python-developer/
Junior PHP Developer,Medium,10 Questions,10 Min,"The Junior PHP Developer assessment evaluates candidates’ skills in PHP programming, debugging, web development, problem-solving, and knowledge of PHP frameworks.",https://testlify.com/test-library/junior-php-developer/
Junior Product Owner,Medium,10 Questions,10 Min,"The Junior Product Owner assessment evaluates the candidate’s skills and knowledge in product management, which includes product strategy, product development, and product marketing.",https://testlify.com/test-library/junior-product-owner/
Junior Marketing Coordinator,Medium,10 Questions,10 Min,"The Junior Marketing Coordinator assessment evaluates candidates’ skills in marketing sub-skills such as problem-solving, creativity, communication, attention to detail, and teamwork.",https://testlify.com/test-library/junior-marketing-coordinator/
IBM DB400,Medium,10 Questions,10 Min,"The IBM DB400 assessment is designed to evaluate a candidate’s technical proficiency in using the IBM AS/400 computer system, also known as the IBM iSeries.",https://testlify.com/test-library/ibm-db400/
Customer Success Foundations,Medium,18 Questions,20 Min,The Customer Success Foundations test evaluates a candidate’s proficiency in customer success skills across various business functions.,https://testlify.com/test-library/customer-success-foundations-test/
CISCO Cloud,Medium,10 Questions,10 Min,The Cisco Cloud test is designed to evaluate the candidate’s knowledge of cloud computing technologies and their ability to work with Cisco’s cloud solutions.,https://testlify.com/test-library/cisco-cloud/
CISCO ACI Online,Medium,10 Questions,10 Min,"The Cisco ACI Online test evaluates the candidate’s knowledge and skills related to Cisco Application Centric Infrastructure (ACI), which is a software-defined networking solution.",https://testlify.com/test-library/cisco-aci-online/
CISCO (Switching),Medium,10 Questions,10 Min,The CISCO (Switching) tests evaluate the candidate’s skills related to CISCO switching technologies.,https://testlify.com/test-library/cisco-switching/
Integrity,Medium,60 Questions,15 Min,"The Integrity/Honesty test evaluates a candidate’s personal traits such as honesty, reliability, and ethical behavior.",https://testlify.com/test-library/integrity/
Customer Service Aptitude,Medium,18 Questions,20 Min,The Customer Service Aptitude tests are comprehensive evaluations designed to assess candidates’ suitability and potential for excelling in customer service roles.,https://testlify.com/test-library/customer-service-aptitude/
Customer Service Agent – Foundations,Medium,18 Questions,20 Min,The Customer Service Agent – Foundations test is designed to assess a candidate’s aptitude for delivering high-quality customer service.,https://testlify.com/test-library/customer-service-agent-foundations-test/
Customer Service Advisor – Bank,Medium,18 Questions,20 Min,The Customer Service Advisor – Bank test is designed to evaluate a candidate’s ability to provide exceptional customer service in a banking environment.,https://testlify.com/test-library/customer-service-advisor-bank-test/
Customer Service – Management,Medium,18 Questions,20 Min,The Customer Service – Management test is designed to assess a candidate’s ability to manage customer service operations effectively.,https://testlify.com/test-library/customer-service-management-test/
Customer Relationship Management,Medium,18 Questions,20 Min,The Customer Relationship Management (CRM) test is designed to assess a candidate’s ability to manage relationships with customers effectively.,https://testlify.com/test-library/customer-relationship-management-test/
